altitude,longitude,latitude,speed,timestamp,altitude_smooth
215.39999999999998,-122.64859235845506,38.009617729112506,2.4,2025-08-03 16:19:36,218.0
215.39999999999998,-122.64860266819596,38.009636756032705,2.3,2025-08-03 16:19:37,218.09677419354838
215.39999999999998,-122.64861515723169,38.009655866771936,2.265,2025-08-03 16:19:38,218.19375
215.60000000000002,-122.64862529933453,38.00966726616025,2.29,2025-08-03 16:19:39,218.2969696969697
215.79999999999995,-122.64863720163703,38.00967698916793,2.124,2025-08-03 16:19:40,218.4
216.0,-122.64864809811115,38.00968637689948,1.944,2025-08-03 16:19:41,218.50285714285715
216.20000000000005,-122.6486511155963,38.00969417206943,2.001,2025-08-03 16:19:42,218.60555555555555
216.39999999999998,-122.6486511155963,38.009706577286124,2.123,2025-08-03 16:19:43,218.7027027027027
216.60000000000002,-122.64865597710013,38.00972191616893,1.736,2025-08-03 16:19:44,218.79999999999998
216.79999999999995,-122.64867299236357,38.00973222590983,1.492,2025-08-03 16:19:45,218.89230769230767
217.0,-122.64869503676891,38.00973960198462,1.522,2025-08-03 16:19:46,218.98000000000002
217.20000000000005,-122.6487132254988,38.009740607813,1.514,2025-08-03 16:19:47,219.06341463414634
217.39999999999998,-122.64873283915222,38.00973457284272,1.521,2025-08-03 16:19:48,219.14285714285714
217.60000000000002,-122.64874700456858,38.009722670540214,1.514,2025-08-03 16:19:49,219.2232558139535
218.0,-122.64875027351081,38.00970724783838,1.492,2025-08-03 16:19:50,219.3
218.20000000000005,-122.64874583110213,38.009696351364255,1.462,2025-08-03 16:19:51,219.37777777777777
218.39999999999998,-122.64873820357025,38.00968637689948,1.44,2025-08-03 16:19:52,219.45217391304345
218.60000000000002,-122.64873057603836,38.00967271439731,1.44,2025-08-03 16:19:53,219.53191489361703
218.79999999999995,-122.64871833845973,38.00965511240065,1.532,2025-08-03 16:19:54,219.61249999999998
219.0,-122.64870760962367,38.009638264775276,1.595,2025-08-03 16:19:55,219.69387755102042
219.20000000000005,-122.64870006591082,38.00962099805474,1.595,2025-08-03 16:19:56,219.77599999999998
219.39999999999998,-122.6486923545599,38.00959945656359,1.595,2025-08-03 16:19:57,219.86274509803923
219.60000000000002,-122.64868011698127,38.0095764901489,1.99,2025-08-03 16:19:58,219.95
219.79999999999995,-122.64866947196424,38.00955595448613,2.268,2025-08-03 16:19:59,220.03773584905662
220.0,-122.64866192825139,38.00953248515725,2.285,2025-08-03 16:20:00,220.1259259259259
220.20000000000005,-122.64864994212985,38.00950834527612,2.331,2025-08-03 16:20:01,220.21454545454543
220.20000000000005,-122.64863485470414,38.00948563031852,2.428,2025-08-03 16:20:02,220.30357142857142
220.39999999999998,-122.6486194320023,38.009464759379625,2.5,2025-08-03 16:20:03,220.38947368421054
220.60000000000002,-122.6486038416624,38.00944296643138,2.594,2025-08-03 16:20:04,220.4758620689655
220.79999999999995,-122.64858431182802,38.009420335292816,2.692,2025-08-03 16:20:05,220.5627118644068
221.0,-122.64856587164104,38.00940189510584,2.757,2025-08-03 16:20:06,220.64666666666665
221.20000000000005,-122.64855053275824,38.00938429310918,2.727,2025-08-03 16:20:07,220.82000000000002
221.60000000000002,-122.64853519387543,38.009367445483804,2.679,2025-08-03 16:20:08,220.99333333333334
221.79999999999995,-122.64851993881166,38.00934766419232,2.704,2025-08-03 16:20:09,221.17
222.0,-122.64850468374789,38.009322518482804,2.736,2025-08-03 16:20:10,221.34333333333333
222.20000000000005,-122.64848934486508,38.00929795950651,2.82,2025-08-03 16:20:11,221.51333333333332
222.20000000000005,-122.64847869984806,38.009270299226046,3.027,2025-08-03 16:20:12,221.68333333333334
222.39999999999998,-122.6484663784504,38.0092397890985,3.219,2025-08-03 16:20:13,221.85
222.39999999999998,-122.6484558172524,38.00920709967613,3.549,2025-08-03 16:20:14,222.01666666666668
222.39999999999998,-122.64843938872218,38.009171057492495,3.996,2025-08-03 16:20:15,222.18333333333334
222.39999999999998,-122.64841650612652,38.00913744606078,4.283,2025-08-03 16:20:16,222.35
222.39999999999998,-122.64838943257928,38.00910718739033,4.335,2025-08-03 16:20:17,222.51666666666668
222.60000000000002,-122.6483503729105,38.009081203490496,4.38,2025-08-03 16:20:18,222.68333333333334
222.60000000000002,-122.64830402098596,38.00906251184642,4.424,2025-08-03 16:20:19,222.84666666666666
222.79999999999995,-122.64825758524239,38.00904926843941,4.432,2025-08-03 16:20:20,223.01000000000002
222.79999999999995,-122.64821223914623,38.00903795287013,4.213,2025-08-03 16:20:21,223.17000000000002
223.20000000000005,-122.64817125163972,38.00902873277664,3.887,2025-08-03 16:20:22,223.32666666666668
223.39999999999998,-122.64813713729382,38.0090188421309,3.52,2025-08-03 16:20:23,223.48333333333332
223.60000000000002,-122.64811106957495,38.009005011990666,3.128,2025-08-03 16:20:24,223.63666666666668
223.79999999999995,-122.64808374457061,38.00899436697364,2.834,2025-08-03 16:20:25,223.79000000000002
224.20000000000005,-122.64805750921369,38.00897969864309,2.774,2025-08-03 16:20:26,223.94000000000003
224.39999999999998,-122.64803496189415,38.008961006999016,2.838,2025-08-03 16:20:27,224.09
224.60000000000002,-122.64801652170718,38.00893963314593,3.011,2025-08-03 16:20:28,224.23999999999998
224.79999999999995,-122.6480012666434,38.008914487436414,3.045,2025-08-03 16:20:29,224.39
225.0,-122.64799062162638,38.00888825207949,2.947,2025-08-03 16:20:30,224.54333333333335
225.20000000000005,-122.64798735268414,38.00886142998934,2.943,2025-08-03 16:20:31,224.6966666666667
